year,code,country_origin,country_consignment,net_mass,cif_etb,cif_usd
2016,84452000,China,Thailand,2640.0,4295321.32,197739.69
2016,94033000,Malaysia,Malaysia,5331060.04,2911158.38,366722.84
2016,32061100,China,China,22258972.97,18004000.83,1801563.85
2016,87042200,Italy,Djibouti,28747782.43,17595978.55,2116446.42
2016,85045000,China,Hong Kong,8193227.83,11448355.32,903392.27
2016,39011000,Thailand,Thailand,11993683.61,26992374.68,1734641.6
2016,65040090,China,China,12371187.85,6977372.29,885846.75
2016,72171000,China,China,33180238.4,22926688.74,2356619.56
2016,87021010,Japan,Norway,14273373.8,22760423.22,1693980.65
2016,59021000,China,China,18411246.44,16990757.88,1607004.08
2016,34012010,Egypt,Egypt,11673499.54,14381049.48,1149545.81
2016,94016100,Italy,Italy,4484304.48,1838381.01,290202.27
2016,42033000,China,China,13181400.77,13840605.63,1227639.22
2016,39049000,Thailand,Thailand,5347163.71,6969262.45,543797.61
2016,20091990,Saudi Arabia,Saudi Arabia,9269718.81,20117001.0,1255602.35
2016,72121090,China,China,4350702.72,14637262.13,791852.23
2016,73269090,Germany,Turkey,13081563.81,5486302.35,846575.16
2016,39019000,China,China,26382850.53,20827441.87,2112160.79
2016,84411090,Turkey,Turkey,18002.15,4220139.54,194533.13
2016,54024700,India,Djibouti,50296878.88,20065336.85,3175810.71
2016,85078090,China,China,56300618.12,38613151.12,4366248.19
2016,38220000,Austria,Austria,5224490.62,2982029.53,377686.8
2016,85256000,Belgium,Belgium,4288414.68,58897.4,200125.03
2016,85166000,China,China,25376821.84,13434689.29,1758101.99
2016,84186190,Italy,Italy,4226245.25,3794282.87,368277.95
2016,84321000,Italy,Italy,3411028.74,8439870.13,542701.92
2016,94017100,China,China,4470634.16,6172669.76,483005.51
2016,84295900,China,Djibouti,41219641.4,100491554.77,6475209.4
2016,38089390,France,France,4149504.93,10845282.11,687658.37
2016,90319000,India,India,4346375.93,8893.22,200492.98
2016,49019900,United States,United States,15062125.83,5939442.58,959093.09
2016,70132800,China,China,8834011.13,17935077.32,1166375.73
2016,87033290,Thailand,Djibouti,26144533.28,24166251.09,2309912.5
2016,33049900,Germany,Germany,8738885.47,6643094.23,702040.3
2016,73089010,China,China,162664361.64,121118448.96,12821940.15
2016,39012000,Saudi Arabia,United Arab Emirates,20916062.57,35461834.85,2517212.76
2016,84281000,Spain,Spain,7004104.11,17486203.1,1120611.89
2016,87164000,China,Djibouti,13589065.52,17801283.28,1422422.73
2016,85021200,China,United Arab Emirates,5369086.63,3843869.0,420534.59
2016,84138190,Italy,Italy,11222304.56,9012338.32,927936.48
2016,85176200,Greece,Greece,408.22,3982790.13,183351.98
2016,76042100,China,Djibouti,53686.66,3927176.74,180791.76
2016,84451900,Swaziland,Malaysia,9505.52,3891316.28,179140.89
2016,84581900,China,United Kingdom,1650.0,3798420.75,174864.34
2016,74081900,Zambia,Zambia,4028779.88,5977263.45,457774.68
2016,61153000,China,China,6723841.44,4089500.86,492173.72
2016,47031100,Sweden,Sweden,4179854.75,3616767.79,339203.97
2016,84314900,United States,United States,6874250.47,3227867.83,463904.89
2016,38220000,China,China,29649244.04,48032319.06,3569379.7
2016,73072100,China,China,29784065.78,47521843.16,3539155.62
2016,35079000,Denmark,Denmark,5877952.17,16835824.46,1042457.26
2016,85016100,Italy,Italy,7366803.25,4015372.66,521808.98
2016,72101200,Turkey,Turkey,3906645.8,396643.58,181329.13
2016,72109000,Kenya,Kenya,3844357.88,3032385.6,309205.07
2016,10063000,Pakistan,Djibouti,12246183.02,27657338.21,1684663.14
2016,84791000,Italy,Italy,3905978.93,78105.85,182772.04
2016,87021090,Japan,United Arab Emirates,31984609.3,54964654.01,3988164.19
2016,38140090,Italy,Italy,47198641.68,19635941.33,2971576.18
2016,30043900,China,China,16019178.79,5956840.86,1008534.19
2016,24022000,Kenya,Kenya,4053502.93,4197174.26,378886.81
2016,40111000,China,China,41757682.76,8613480.92,2285858.2
2016,84212310,Japan,United Arab Emirates,8100254.5,24340861.38,1487829.99
2016,87032390,Thailand,Djibouti,20189025.34,23447781.48,2001857.74
2016,84439990,China,United Arab Emirates,10571964.8,23532482.61,1566294.4
2016,96081000,India,India,7938406.48,3318146.77,515304.22
2016,84602900,China,China,3974199.95,136022.16,187607.91
2016,40112000,China,United Arab Emirates,49995823.82,30998068.16,3670440.76
2016,90314900,China,China,4928992.37,12574632.82,805310.67
2016,84531000,Italy,Italy,5032091.58,12176478.16,787907.87
2016,10063000,Pakistan,Pakistan,16709861.5,12207144.84,1280033.39
2016,87054000,China,China,21747121.99,24184126.69,2093788.76
2016,73064000,India,India,6381454.28,9802593.28,703804.48
2016,73201000,China,China,15703115.78,23338291.37,1740571.4
2016,87032320,Japan,Germany,8346132.0,4708830.27,597984.51
2016,84592900,China,China,11934845.2,5550050.18,799122.57
2016,87163900,China,China,38323649.68,16962037.29,2498501.14
2016,85408900,China,China,5236172.49,767682.91,275936.94
2016,87088000,Japan,United Arab Emirates,15042977.56,5031231.65,919103.0
2016,62032900,China,China,30220981.53,39873410.5,3211412.35
2016,84082000,Japan,United Arab Emirates,6808888.5,11009864.1,816014.73
2016,84743100,Italy,Italy,35927217.31,59667791.39,4371964.04
2016,84158200,China,China,3996907.48,6069546.99,462539.95
2016,84522100,China,China,32316110.09,34372798.46,3055139.57
2016,69081000,India,India,14785872.4,17223219.44,1254313.74
2016,39012000,Oman,United Arab Emirates,115500.0,3755286.28,172878.6
2016,84144000,United States,Saudi Arabia,900.0,3753985.82,172818.73
2016,55151300,Mexico,United States,8457.0,3645092.33,167805.71
2016,72139100,Ukraine,Turkey,315080.0,3635056.04,167343.67
2016,87052000,Italy,Djibouti,28000.0,3581391.79,164873.18
2016,12129100,United Arab Emirates,Djibouti,300000.0,3513565.76,161750.74
2016,84295900,Belgium,Belgium,20150.0,3510124.11,161592.3
2016,72189900,Italy,Italy,193343.0,3504536.61,161335.07
2016,84314900,"Korea, Republic of",Djibouti,8434711.12,2308089.4,492001.7
2016,85015200,China,China,8393501.25,28444779.45,1670311.93
2016,39202000,United Arab Emirates,United Arab Emirates,7737080.96,9904166.59,803246.54
2016,39023000,"Korea, Republic of","Korea, Republic of",23008474.65,19255275.21,1880534.11
2016,39072000,China,China,30548150.61,67307349.43,4355087.67
2016,72279000,China,China,4505435.28,7772047.4,511161.19
2016,24022000,Germany,United Arab Emirates,8649550.46,4618362.09,610065.76
2016,13021300,Germany,Belgium,14360269.78,10054623.02,1121686.61
2016,76151090,India,India,16464715.37,15835708.9,1472189.84
2016,84079000,Italy,Italy,3694012.03,41534.88,171456.57
2016,85414000,China,United Arab Emirates,3991360.84,3936340.23,363441.17
2016,84193200,China,China,3709566.67,9152131.89,583735.09
2016,84195000,United States,United States,343585.58,5947438.56,289496.73
2016,62149000,China,China,29698612.46,16597415.65,2119514.63
2016,69079000,India,India,5959678.84,2499674.72,341732.2
2016,84099900,South Africa,South Africa,3835216.85,186896.28,185122.79
2016,84797900,Germany,United Arab Emirates,1236219.89,4011290.2,239567.27
2016,44119400,China,China,13705917.88,19750474.68,1445046.9
2016,90152000,China,China,2159266.94,4633417.1,312271.49
2016,84212310,China,China,22511154.75,18222191.6,1861720.9
2016,83013000,China,China,8240007.22,11386071.56,880312.85
2016,34012010,India,India,3939735.38,6804406.53,470587.19
2016,39199000,China,China,20430129.14,14967005.18,1597005.64
2016,38231900,Indonesia,Djibouti,5694328.81,20449998.51,1145157.57
2016,84659100,China,China,6018558.88,2552748.28,390114.26
2016,84716030,China,China,308128.57,616408.48,42189.46
2016,85381000,Italy,Italy,6071656.68,9107205.45,697618.88
2016,20098090,Saudi Arabia,Saudi Arabia,14844068.19,10851158.27,1097372.46
2016,87021090,Japan,Saudi Arabia,16463460.58,11886446.64,1299793.63
2016,61042900,China,China,3866749.07,5041525.09,408605.69
2016,39021000,Viet Nam,Viet Nam,3865337.52,5698442.94,427325.65
2016,73090000,India,India,766210.73,10605934.82,520891.81
2016,54024800,Japan,Japan,8327136.98,12335930.06,942026.19
2016,84716030,China,United Arab Emirates,5452554.87,7171713.99,579603.16
2016,85021100,Italy,Italy,53465753.01,69851830.43,5657227.11
2016,84749000,China,Italy,1657380.61,9839673.0,525310.47
2016,84439910,China,China,18199274.76,31213001.0,2259777.53
2016,15121910,Oman,Oman,106579.0,3381786.86,155684.16
2016,84295200,United States,Finland,28850.0,3325958.68,153114.05
2016,85389020,Egypt,Switzerland,1567.0,3323000.09,152977.85
2016,84304900,India,India,9430.0,3322646.93,152961.59
2016,84624100,China,United Kingdom,20000.0,3308393.86,152305.43
2016,84522100,India,India,30730.08,3283749.05,151170.88
2016,84378000,Brazil,Brazil,7350.0,3270576.38,150564.47
2016,87083000,South Africa,South Africa,5918487.38,12044311.3,825064.29
2016,87042200,Italy,United Arab Emirates,3278042.72,1486144.55,217315.56
2016,48025600,Indonesia,Indonesia,13414077.55,15027662.26,1250332.84
2016,34012010,Indonesia,Singapore,3563335.93,5294941.56,384782.2
2016,85441900,China,China,33666664.51,206802786.3,11015634.0
2016,69111000,China,China,13007155.8,7988339.43,931541.42
2016,32041700,India,India,33756923.2,43435356.67,3465576.62
2016,73170000,China,Djibouti,4406717.72,4367187.52,383431.67
2016,85166090,Turkey,Turkey,3664725.0,3338460.92,319608.42
2016,33049900,United Arab Emirates,United Arab Emirates,6186127.24,3944934.67,457870.07
