year,code,destination,net_mass,fob_etb,fob_usd
2016,41139000,Hong Kong,63215.6,20881063.48,961281.98
2016,10082100,Canada,83000.0,1151119.01,52992.99
2016,5100090,Hong Kong,3.56,683177.74,31450.82
2016,64039900,Canada,3417.0,1773283.49,81634.99
2016,9041200,Canada,23879.0,2564487.59,118058.92
2016,61044200,Sudan,9113.0,9896218.82,455582.98
2016,6021000,Switzerland,3120.0,716971.5,33006.54
2016,7133300,Spain,144000.0,1553271.2,71506.49
2016,7069010,Somalia,656993.0,2882129.05,132681.89
2016,7129090,Rwanda,1622.7,1215256.94,55945.66
2016,7069010,Djibouti,1183827.0,3805978.04,175212.24
2016,7032000,Sudan,63500.0,1374647.9,63283.38
2016,11061000,Djibouti,108838.0,1441159.53,66345.3
2016,6021000,Norway,4634.0,1305317.03,60091.64
2016,9041200,Germany,36168.0,4637685.39,213500.79
2016,41079900,Zimbabwe,2162.0,918888.79,42302.03
2016,22030000,Israel,131744.0,4086749.89,188137.87
2016,22043000,Saudi Arabia,14525.2,1290195.47,59395.53
2016,64059000,Canada,24545.0,10805733.92,497453.47
2016,8072000,Djibouti,823139.0,2906387.94,133798.67
2016,42022900,United States,1863.38,2603904.48,119873.52
2016,7129090,Cameroon,790.24,588522.96,27093.28
2016,9103000,Iraq,222500.0,4162841.46,191640.84
2016,8055000,Djibouti,757596.0,2528642.79,116408.77
2016,64062000,Italy,2600.0,303275.05,13961.59
2016,7081000,Netherlands,64162.96,2294682.06,105638.14
2016,7139000,Czech Republic,12500.0,325695.77,14993.75
2016,33059000,Canada,4965.0,238893.77,10997.73
2016,38089990,Djibouti,1200.0,298831.57,13757.03
2016,39233010,Somalia,117860.8,4495867.08,206972.02
2016,62089900,United States,2921.82,286308.1,13180.5
2016,9102000,Jordan,19000.0,283349.85,13044.31
2016,7129090,Madagascar,1489.11,1115682.63,51361.63
2016,71031000,Israel,0.45,258870.32,11917.37
2016,64061000,Uganda,400.0,180344.99,8302.37
2016,5069000,South Africa,35.0,217842.42,10028.61
2016,12091000,United Kingdom,2500.0,210010.65,9668.06
2016,41071100,India,1762.5,311065.55,14320.24
2016,6031100,Lebanon,28133.6,2331935.21,107353.12
2016,62149000,Australia,847.41,1221277.5,56222.82
2016,11062000,United States,14421.0,1390277.59,64002.91
2016,6021000,China,12520.0,2202753.56,101406.1
2016,7139000,Sudan,1000000.0,5489623.56,252720.66
2016,5100090,France,270.0,2798898.52,128850.28
2016,22085000,Somalia,13375.0,1014950.65,46724.34
2016,9041200,United Kingdom,25909.0,4009102.04,184563.28
2016,41131000,Turkey,629.0,276734.8,12739.78
2016,6031900,Kuwait,17368.82,1451806.98,66835.48
2016,6031900,Saudi Arabia,21651.76,3111526.68,143242.45
2016,6031900,Belgium,17321.92,1797245.75,82738.12
2016,62034300,Germany,2682.09,3039621.04,139932.2
2016,7061000,Djibouti,714913.0,2352171.27,108284.7
2016,8101000,Saudi Arabia,140017.0,13869617.77,638502.63
2016,22021000,South Sudan,35500.0,720438.64,33166.16
2016,4090000,Somalia,50485.0,1387650.57,63881.96
2016,69120010,United States,9942.11,702677.08,32348.5
2016,9103000,India,2433510.0,52757033.81,2428726.22
2016,4029100,Somalia,1454870.0,2640499.68,121558.22
2016,25151100,United Arab Emirates,97720.0,431255.99,19853.32
2016,42031000,Japan,400.4,2546028.04,117209.1
2016,96020090,Zimbabwe,2187.0,1327899.86,61131.29
2016,6021000,Kenya,2572.2,704141.91,32415.93
2016,3056900,Sudan,236905.0,2569326.18,118281.68
2016,9092100,Somalia,219582.0,2367129.53,108973.33
2016,8101000,Ireland,13500.0,631630.9,29077.8
2016,96020090,Malawi,5077.0,3221354.69,148298.5
2016,7039000,Djibouti,786060.0,2443839.14,112504.74
2016,8101000,Nigeria,50778.0,3248962.95,149569.48
2016,20089900,Egypt,9213.2,2787210.44,128312.19
2016,9061900,United States,1774.81,348089.06,16024.65
2016,7133300,Djibouti,439652.0,5769915.02,265624.19
2016,42022110,Japan,234.0,1592105.07,73294.25
2016,6031100,Germany,34599.44,2971010.22,136773.62
2016,11061000,United States,36586.0,2843432.06,130900.43
2016,7129090,Ireland,6861.28,770106.23,35452.66
2016,7129090,Mali,981.75,678168.71,31220.21
2016,9041100,Djibouti,102599.0,968336.75,44578.41
2016,8045000,Djibouti,1400080.0,8222949.01,378552.24
2016,73102900,Djibouti,300.0,175595.47,8083.72
2016,42032100,Indonesia,182.0,174962.47,8054.58
2016,7081000,United Kingdom,2500.0,156290.0,7194.98
2016,13019000,Somalia,10000.0,148990.1,6858.92
2016,19059090,United States,15505.5,1572534.52,72393.3
2016,8031000,Djibouti,2537735.0,7597310.9,349750.29
2016,61102000,United States,32091.91,2772385.17,127629.71
2016,61044900,United Kingdom,560.48,113808.18,5239.28
2016,39249000,United States,250.0,111590.84,5137.2
2016,49111000,Turkey,3352.0,110375.13,5081.24
2016,7129090,Bangladesh,5117.95,3908014.35,179909.61
2016,6031900,Oman,7724.68,923056.77,42493.9
2016,7108000,United Arab Emirates,68813.5,1577827.39,72636.95
2016,71031000,United Kingdom,9.54,335644.39,15451.75
2016,7129090,France,1096.64,825534.2,38004.35
2016,9109900,Djibouti,41265.0,450978.57,20761.28
2016,71101900,United States,513.97,940938.14,43317.09
2016,7129090,Hungary,1030.33,776409.17,35742.82
2016,34012090,Somalia,49836.5,901866.35,41518.37
2016,41120000,Slovakia,500.0,930917.38,42855.77
2016,6021000,South Africa,1394.0,313625.71,14438.1
2016,42023190,United States,222.41,360278.92,16585.82
2016,64039900,United Kingdom,876.0,334457.87,15397.12
2016,7032000,Djibouti,214697.0,1299571.06,59827.14
2016,41139000,United Kingdom,200.77,154502.04,7112.67
2016,19041000,South Africa,44796.0,2274487.25,104708.45
2016,46021910,United States,6361.11,965272.15,44437.33
2016,19059020,Switzerland,15645.0,991024.66,45622.88
2016,30023000,South Sudan,2255.0,368128.89,16947.21
2016,41120000,Myanmar,993.5,937604.15,43163.61
2016,42022190,Japan,543.5,1414044.03,65097.03
2016,52079000,Sudan,3270.0,394027.41,18139.47
2016,30023000,Cote d'Ivoire,907.0,648068.34,29834.52
2016,64051000,United States,4323.34,1823267.55,83936.07
2016,62079900,United Arab Emirates,4358.7,440142.53,20262.43
2016,7132000,Djibouti,59339.0,781386.56,35971.94
2016,7129090,Burundi,1427.41,1075279.54,49501.64
2016,71031000,China,72723.12,3339438.9,153734.64
2016,19059020,Finland,15263.0,1078862.45,49666.58
2016,6031900,United Kingdom,24454.81,2054573.09,94584.47
2016,62089900,United Arab Emirates,7012.3,624978.97,28771.57
2016,64059000,Yemen,240.0,31063.53,1430.04
2016,63052000,Italy,11706.7,2193155.82,100964.27
2016,4090000,Sudan,122962.0,6020531.47,277161.57
2016,6031100,"Korea, Republic of",7279.36,606442.48,27918.23
2016,71031000,Hong Kong,2940.91,15542472.96,715514.28
2016,75089000,United States,2585.0,991169.26,45629.54
2016,71031000,Canada,49.3,539560.46,24839.25
2016,62046900,United States,417.06,108753.4,5006.58
2016,48203000,United States,86.4,89631.78,4126.29
2016,64039900,Germany,240.0,85329.45,3928.23
2016,1042000,Somalia,132249.0,5827546.02,268277.29
2016,46021210,United States,600.0,80025.05,3684.04
2016,7089000,United Kingdom,1205.0,75920.98,3495.1
2016,83062910,United States,170.0,75133.57,3458.85
2016,69120090,United States,1258.0,129799.49,5975.45
2016,11031900,United States,3680.0,327016.19,15054.54
2016,41139000,"Korea, Republic of",347.0,62854.23,2893.56
2016,39269090,Somalia,3177.0,324838.81,14954.28
2016,7129090,Nigeria,1378.51,1056866.03,48653.96
2016,43019000,Nigeria,97000.0,373083.18,17175.28
2016,64051000,France,2220.1,624606.27,28754.41
2016,7099300,Djibouti,253665.0,619688.2,28528.02
2016,9041200,Kuwait,1608.0,158045.75,7275.8
2016,7129090,Botswana,1092.35,822795.62,37878.28
2016,9102000,Djibouti,17224.0,223011.15,10266.56
2016,41079900,China,7167.1,1933208.66,88997.32
2016,46021110,Djibouti,5750.0,119498.41,5501.23
2016,7129090,Sweden,1128.99,863513.55,39752.77
2016,6031900,Canada,11250.46,984106.02,45304.37
2016,9041200,Nigeria,29908.0,738416.73,33993.81
2016,9041200,France,1776.0,255610.53,11767.3
2016,11029000,United States,7602.0,577367.79,26579.74
2016,6031100,Cote d'Ivoire,2831.56,234956.2,10816.46
2016,6021000,Poland,402.0,127237.14,5857.49
2016,62143000,United States,658.89,631543.64,29073.79
2016,19041000,Israel,9750.0,407510.22,18760.18
2016,7011000,Somalia,49608.0,311380.78,14334.75
2016,11061000,South Africa,27000.0,1333225.73,61376.46
2016,7070000,Djibouti,132012.0,986910.87,45433.49
2016,7011000,Sudan,23532.0,105889.54,4874.74
2016,11062000,South Africa,14447.0,673308.36,30996.47
2016,6031900,Italy,5552.2,473948.82,21818.73
2016,7108000,Nigeria,3907.0,305166.62,14048.67
2016,7129090,Benin,234.76,176331.67,8117.61
2016,19041000,Norway,1971.0,369959.79,17031.51
